plotname,numpols,ttd,numtips,numnodes,collessmet,sackinmet,gamma,mntd,mpd
?780452,1,10167.0622032248,25,23,-0.582944304308255,-0.431916355507013,-3.36503514776086,236.39393464,508.830252086667
?780456,2,9904.66725215729,33,30,1.5588178984874,1.09513082124817,-4.22975954156585,272.90660430303,521.407438098485
?780457,2,9128.55368415167,38,34,1.03097693978093,1.0441959734093,-4.17416961374203,247.422144157895,518.763038355619
?791101,2,11925.4663168364,25,21,0.337055695691745,0.328083644492987,-4.03397447961799,293.64705828,533.781562566667
?791103,3,10839.2973989142,35,28,0.560583459070532,0.535008590537706,-4.67479701986716,281.401286342857,523.910154729412
?791104,1,14788.5020846679,19,16,-0.723244300711758,-0.516531945866311,-3.11877389746953,257.702688736842,504.43133405848
?791105,3,15730.512369794,33,26,1.13457547424498,1.09513082124817,-3.31746851154266,259.999025363636,511.834095356061
?791106,3,13181.2054779914,32,26,1.30644561776022,0.97675960912696,-4.16452672153149,280.324798875,525.976464018145
?791112,1,12553.157587484,21,19,-0.119067107639668,0.233092114284065,-3.32208434367414,287.140455380952,526.781573933333
?791116,2,15923.1175115266,36,31,0.560190359881613,0.567548273077388,-3.89449939941179,243.534431555556,526.817543265079
?791119,2,12511.7384460226,32,27,0.118945617760219,0.10175960912696,-4.4455909894879,283.8981045,541.734075221774
?791121,2,13464.9814227971,32,27,0.650195617760219,0.75800960912696,-3.59830513315105,238.87910603125,513.920240239919
?791122,4,13230.9546438137,38,31,0.557292729254612,0.517880183935615,-4.31719845855185,267.201506,533.337351805121
?791123,1,10487.5577801029,31,27,0.681944316074799,0.687445092997928,-5.21285758079049,307.493196129032,533.973530206452
?791124,1,8759.8446347604,38,35,1.45202957135987,1.25472228919877,-5.26050312023657,285.232588710526,524.11548258606
?791126,1,10861.142708506,27,24,0.301576136037097,0.254123530532873,-4.2732238016864,283.858412740741,546.540539071225
?791164,1,10990.2956281178,26,24,0.742450367153847,0.637314413723756,-3.85622022123635,278.589363576923,540.363217556923
?796924,2,9181.28075600532,35,32,0.903440601927675,0.706437161966277,-4.26517795463032,261.681304828571,517.956157942857
?796927,1,7982.0186844549,26,24,1.35783498253846,1.09885287526222,-4.25065322179742,303.370512653846,531.255741867692
?796931,0,6552.9095199494,30,29,1.04806747223112,0.876692404825885,-5.11051511736942,310.6859939,533.181431011494
?796932,4,7619.11475464929,38,33,0.978345360833559,0.938932815514562,-5.13324596706881,267.718239447368,521.806802305832
?796933,0,7784.14951452473,13,12,0.0894437015599469,-0.0525752025752028,-3.53919438123655,321.817847,509.560352923077
?796934,2,8901.93058922543,28,25,1.10515558181331,0.895657922067264,-4.43481803311353,295.211011678571,518.567630171958
?796935,1,7777.9868475697,33,29,1.01336335303286,0.792100518217869,-5.779488079891,311.223209636364,536.812215768939
?796940,1,12831.4782467167,19,15,-0.249560090185442,-0.148110893234732,-3.3509639201797,264.751788526316,505.892852666667
?796941,4,8841.08913663198,33,28,0.952757292426798,0.91331263942999,-4.27695718359129,256.043311272727,520.121817261364
?796942,1,8925.17978760652,37,34,1.61312171602383,1.48871944424856,-4.54281063681306,260.252737054054,530.768768585586
?796943,1,7977.74066656153,36,34,1.42130147099272,1.20643716196628,-4.9884638570236,282.078040805556,524.921279922222
?801805,2,12474.0585077649,36,31,0.865745915437169,0.928659384188499,-4.18298217970165,271.682114888889,521.113421230159
?801806,3,9373.77689194196,43,39,0.982638381610569,0.881398107633555,-5.19707076850873,257.08416727907,533.441412236988
?801807,2,14669.3685724265,31,25,0.810976574139315,0.816477351062444,-3.48759508342409,253.260456193548,512.843765741935
?801808,2,15830.591859993,30,22,0.0814008055644564,0.176692404825885,-4.19988933958352,256.3283467,511.286811206897
?801809,3,13935.8059618301,30,25,0.91473413889779,0.810025738159218,-4.09513313760518,307.2719961,518.304086397701
?801814,4,15408.7902784903,35,27,1.21772631621339,1.13500859053771,-3.99081854070475,269.0024044,518.836880184874
?801823,1,9765.9690657733,35,33,1.27486917335625,1.07786573339485,-4.53547882501282,274.9747652,527.150750383193
?801824,2,12740.4454578891,30,26,0.21473413889779,0.243359071492551,-4.1634511288041,263.9178357,506.533214891954
?801825,2,10780.3753189141,39,33,0.734421156481581,0.826247255460582,-4.78928894005311,265.407170358974,525.26968111471
?801826,4,10508.844929315,43,34,1.23845233509894,0.95116554949402,-5.75217694094504,283.836328069767,525.981481209302
?801827,1,7736.01178361598,41,39,1.01211555141661,0.90632855627359,-4.85717846390374,252.326590121951,524.738676412195
?801828,3,10297.8112393323,41,32,0.695042380684906,0.589255385541883,-5.01097415775384,260.365789731707,521.406548221951
?801829,4,14189.3354047825,44,33,0.96810552300532,0.800002758796345,-4.5474774111125,261.048137931818,518.796776591966
?801830,3,10532.5001909077,35,31,0.817726316213389,0.792151447680563,-4.63259482952147,290.407384457143,529.519096766386
?801831,0,6140.07089872018,13,12,0.781751393867639,0.485886335886336,-3.47640923576105,352.093423538462,492.013087282051
