plotname,numpols,ttd,numtips,numnodes,collessmet,sackinmet,gamma
2883,0,7783.016277,9,8,0.029818054,-0.102380952,-2.740001246
3079,1,8056.51332,21,19,0.309504321,0.375949257,-3.377941691
3279,1,11158.11939,27,25,1.153427988,0.88375316,-3.809827477
4079,0,8454.993752,24,23,2.021211024,1.698083644,-4.173338557
4779,2,7174.412844,24,21,1.06287769,0.823083644,-4.981282631
5779,0,4467.950542,9,8,-0.636848612,-0.324603175,-3.031270005
5879,0,5210.567816,5,4,-0.093506392,-0.166666667,-1.988366273
5979,0,11257.00804,11,10,1.172581702,0.778427128,-2.497106133
6279,2,8391.706576,25,22,-0.422944304,-0.351916356,-4.644450728
6379,0,19336.2688,10,9,-0.486653572,-0.357936508,-1.196651136
6579,1,8631.809998,14,12,-0.451697238,-0.431696082,-3.967054703
6679,0,9896.802876,7,6,-0.544264343,-0.328571429,-2.402201977
6779,1,8861.551235,22,20,1.161252704,0.845646227,-4.058108424
7179,0,9113.796647,13,12,1.474059086,1.024347874,-3.204385147
7279,1,12317.76401,15,13,1.741214653,1.23020868,-2.707250003
779,0,6992.959803,29,28,1.127946035,0.904278612,-5.127826026
8079,0,7499.687021,15,14,-0.658785347,-0.36979132,-3.455792926
8279,1,13638.5889,16,14,0.780842798,0.676042014,-2.316275546
8379,1,10779.30046,24,22,2.896211024,2.406416978,-3.082721071
8979,3,9835.316445,24,18,0.146211024,0.073083644,-4.534979417
9479,0,10527.84375,24,23,1.43787769,1.031416978,-3.591819977
9579,0,15311.38846,8,7,0.161489979,-0.060714286,-1.151997144
9779,1,9159.769573,33,30,1.558817898,1.095130821,-4.778803294
9879,0,7796.609285,10,9,0.213346428,0.142063492,-2.525944911
9979,1,11701.67326,30,28,2.014734139,1.710025738,-3.355666789
10079,0,8912.208606,16,15,0.780842798,0.676042014,-2.623531479
10379,1,12281.55718,29,27,1.369325346,1.076692405,-2.80745751
10479,0,8095.000792,15,14,1.207881319,0.83020868,-3.729178652
1079,1,8176.017387,10,8,-0.486653572,-0.357936508,-3.387556488
1179,0,8477.008433,19,18,0.960966226,0.851889107,-3.534881121
"$801,900 ",1,8543.530348,45,42,1.331491253,1.054548213,-4.970659204
"$812,065 ",1,7560.618962,24,22,0.479544357,0.156416978,-4.900250649
"$812,068 ",0,8113.734466,29,28,0.541739139,0.524968267,-4.02756599
"$812,071 ",1,9900.557234,32,30,-0.162304382,0.008009609,-4.425289475
"$812,072 ",0,9045.162125,29,28,0.714152932,0.628416543,-4.390461659
"$812,073 ",0,7093.025167,21,20,-0.119067108,-0.147860267,-4.150208103
"$812,074 ",3,10647.97773,41,37,1.280408234,1.077060264,-4.12553989
"$812,076 ",1,8107.10284,22,20,0.79761634,0.572918954,-4.254206236
"$812,077 ",1,8049.539798,22,20,1.024889067,0.982009863,-3.888190116
"$812,078 ",0,6971.450507,17,16,0.576835824,0.356189072,-3.214335391
"$812,079 ",0,6119.470224,16,15,0.905842798,0.551042014,-3.777946467
780453%,1,9168.146442,32,30,0.837695618,0.758009609,-4.136413819
796961%,2,8309.270843,37,34,1.369878473,1.137368093,-4.807864921
801752%,1,6158.691826,28,26,0.53372701,0.324229351,-5.313071968
801754%,0,7582.05617,33,32,1.195181535,1.034524761,-4.802985281
801756%,0,4674.165341,13,12,0.62790524,0.485886336,-3.892608478
801762%,4,10053.78983,33,28,0.952757292,0.792100518,-4.295635526
801763%,0,6772.549343,30,29,1.114734139,0.743359071,-4.776212035
801764%,2,7509.744776,42,39,1.592547617,1.322704863,-5.517934222
801765%,5,8524.212059,52,45,2.22238011,1.943142868,-5.309519602
801766%,4,7430.35049,40,35,1.277052066,0.992913922,-5.892443396
801767%,2,10565.13181,34,30,0.648394525,0.587109431,-4.499293298
801768%,1,10995.94837,31,27,-0.414829877,-0.151264584,-3.88356842
801769%,2,11840.36514,29,25,0.783118449,0.766347577,-3.695660184
801770%,2,8944.611948,32,29,1.118945618,0.976759609,-4.871028938
801771%,0,8115.309659,33,32,1.104272444,0.883009609,-4.974851489
801772%,1,9666.627026,36,34,0.143523693,0.095326051,-4.276531135
801773%,0,7678.344339,27,26,1.486761321,1.217086493,-4.710112798
801774%,0,5346.715034,17,16,0.165071118,0.179718484,-4.214950082
801775%,0,8296.845661,23,22,1.936959044,1.531416978,-4.637993332
801778%,1,9193.217294,28,26,0.069441296,0.002800779,-3.903277432
801779%,3,11121.30794,33,29,0.801242141,0.640585367,-3.971347501
801781%,1,12561.79965,21,18,0.92855194,0.70928259,-3.648850047
801783%,4,11242.3945,42,34,0.711595236,0.584609625,-4.429807657
801784%,3,8111.248254,46,42,1.374246646,1.210103769,-4.767223587
801785%,0,10238.92559,17,16,0.341541706,0.120894955,-3.075597025
801786%,3,7814.748639,45,41,1.975935697,1.698992658,-5.418132393
801811%,2,8070.000625,39,36,2.683139105,2.262144691,-5.235619824
801812%,3,7014.102872,41,37,1.8169936,1.613645629,-6.016775115
801813%,4,10939.80914,33,27,0.073969414,0.095130821,-3.585921487
?780452,1,10167.0622,25,23,-0.582944304,-0.431916356,-3.365035148
?780456,2,9904.667252,33,30,1.558817898,1.095130821,-4.229759542
?780457,2,9128.553684,38,34,1.03097694,1.044195973,-4.174169614
?791101,2,11925.46632,25,21,0.457055696,0.368083644,-4.03397448
?791103,3,10839.2974,35,28,0.589154888,0.563580019,-4.67479702
?791104,1,14788.50208,19,16,-0.723244301,-0.516531946,-3.118773897
?791105,3,15730.51237,33,26,1.134575474,1.095130821,-3.317468512
?791106,3,13181.20548,32,26,1.462695618,1.070509609,-4.164526722
?791112,1,12553.15759,21,19,-0.119067108,0.233092114,-3.322084344
?791116,2,15923.11751,36,31,0.365745915,0.48421494,-3.894499399
?791119,2,12511.73845,32,27,0.118945618,0.101759609,-4.445590989
?791121,2,13464.98142,32,27,0.650195618,0.758009609,-3.598305133
?791122,4,13230.95464,38,31,0.636240098,0.544195973,-4.317198459
?791123,1,10487.55778,31,27,0.520653993,0.590670899,-5.212857581
?791124,1,8759.844635,38,35,1.452029571,1.254722289,-5.26050312
?791126,1,10861.14271,27,24,0.301576136,0.254123531,-4.273223802
?791164,1,10990.29563,26,24,0.742450367,0.637314414,-3.856220221
?796924,2,9181.280756,35,32,0.903440602,0.706437162,-4.265177955
?796927,1,7982.018684,26,24,1.357834983,1.098852875,-4.250653222
?796931,0,6552.90952,30,29,1.048067472,0.876692405,-5.110515117
?796932,4,7619.114755,38,33,1.057292729,0.965248605,-5.133245967
?796933,0,7784.149515,13,12,0.089443702,-0.052575203,-3.539194381
?796934,2,8901.930589,28,25,1.105155582,0.895657922,-4.434818033
?796935,1,7777.986848,33,29,1.043666383,0.822403549,-5.77948808
?796940,1,12831.47825,19,15,-0.407454827,-0.200742472,-3.35096392
?796941,4,8841.089137,33,28,1.043666383,0.94361567,-4.276957184
?796942,1,8925.179788,37,34,1.613121716,1.488719444,-4.542810637
?796943,1,7977.740667,36,34,1.421301471,1.206437162,-4.988463857
?801805,2,12474.05851,36,31,0.671301471,0.845326051,-4.18298218
?801806,3,9373.776892,43,39,0.889615126,0.83488648,-5.197070769
?801807,2,14669.36857,31,25,0.77871851,0.848735416,-3.487595083
?801808,2,15830.59186,30,22,-0.118599194,-0.023307595,-4.19988934
?801809,3,13935.80596,30,25,0.914734139,0.810025738,-4.095133138
?801814,4,15408.79028,35,27,1.303440602,1.163580019,-3.990818541
?801823,1,9765.969066,35,33,1.274869173,1.077865733,-4.535478825
?801824,2,12740.44546,30,26,0.014734139,0.110025738,-4.163451129
?801825,2,10780.37532,39,33,0.734421156,0.826247255,-4.78928894
?801826,4,10508.84493,43,34,1.122173265,0.881398108,-5.752176941
?801827,1,7736.011784,41,39,1.012115551,0.906328556,-4.857178464
?801828,3,10297.81124,41,32,0.841383844,0.686816361,-5.010974158
?801829,4,14189.3354,44,33,0.786287341,0.709093668,-4.547477411
1279,1,7763.418702,33,31,1.952757292,1.670888397,-4.930524379
1379,1,8913.558203,31,29,1.746460445,1.429380577,-4.372297932
1479,0,7614.97909,25,24,1.497055696,1.168083644,-4.473131598
1579,2,7834.867115,26,23,0.973219598,0.714237491,-4.550036156
1679,0,8921.434211,27,26,2.37565021,1.809679086,-4.643873858
1879,2,8965.231318,16,13,0.905842798,0.676042014,-3.576276634
?801830,3,10532.50019,35,31,0.960583459,0.877865733,-4.63259483
?801831,0,6140.070899,13,12,0.781751394,0.485886336,-3.476409236
?801833,4,13371.70431,40,31,0.377052066,0.442913922,-4.842280493
?801908,0,8091.364866,24,23,0.604544357,0.531416978,-4.423126379
?812056,2,9926.622092,36,33,0.782412582,0.623103829,-4.01319933
?812067,0,5625.929068,22,21,1.706707249,1.300191681,-5.33205481
1779,2,8475.875005,28,25,1.53372701,1.181372208,-5.258383235
2479,1,9074.167182,12,10,0.547691537,0.21024531,-3.640304785
2779,2,10503.30296,31,27,2.359363671,1.848735416,-4.725897039
2880,0,13232.59973,17,16,1.694482882,1.120894955,-2.734187206
2881,1,8944.694304,14,12,1.90544562,1.354018204,-3.07171943
2882,0,10532.3283,9,8,0.474262499,0.11984127,-2.1529808
1979,0,12310.47412,21,20,1.595218607,1.185473067,-2.941547724
2079,3,8957.639094,36,32,1.615745915,1.345326051,-5.059063294
2179,1,8521.122876,25,23,1.457055696,1.208083644,-4.530510459
2279,0,8381.154257,35,34,1.217726316,1.077865733,-4.919274292
2579,3,8516.154554,43,39,1.401243033,1.160467875,-4.652634204
2679,1,5214.959379,9,7,0.140929165,0.008730159,-3.007042063
29780,1,10720.46935,20,18,1.620199247,1.304520686,-3.631043816
2979,1,9320.511548,29,27,0.852083966,0.766347577,-4.062909838
3479,1,9213.973864,28,26,0.605155582,0.324229351,-4.316502755
36580,0,6910.955912,23,22,0.110872087,-0.033800413,-4.568588808
37280,0,11478.63241,16,15,0.718342798,0.488542014,-2.682003893
37380,0,10552.16129,12,11,0.881024871,0.543578644,-2.591328595
109178,0,8452.104173,28,27,1.28372701,1.074229351,-4.192878362
109180,0,10798.33401,24,23,-0.18712231,-0.093583022,-4.326580108
109181,3,12283.3462,30,24,1.381400806,1.210025738,-4.020078916
109182,1,8844.727867,18,16,-0.274440237,-0.045771712,-4.046764376
109183,2,12177.13833,37,31,1.3969055,1.326557282,-4.315381091
